Order_ID,Order_Date,Region,Category,Sales,Quantity,Customer_Type
50,03/01/2023 1:00,South,Furniture,4928,1,Returning
51,03/01/2023 2:00,East,Groceries,4069,6,Returning
52,03/01/2023 3:00,South,Clothing,2355,2,Returning
53,03/01/2023 4:00,East,Furniture,4528,6,Returning
54,03/01/2023 5:00,West,Furniture,2108,1,Returning
55,03/01/2023 6:00,East,Electronics,2672,2,New
56,03/01/2023 7:00,West,Furniture,2438,9,Returning
57,03/01/2023 8:00,West,Furniture,2293,6,Returning
58,03/01/2023 9:00,North,Electronics,3898,8,Returning
59,03/01/2023 10:00,East,Electronics,2681,7,New
60,03/01/2023 11:00,North,Clothing,1652,9,Returning
61,03/01/2023 12:00,East,Furniture,1365,9,New
62,03/01/2023 13:00,East,Clothing,285,4,Returning
63,03/01/2023 14:00,North,Clothing,2958,7,New
64,03/01/2023 15:00,North,Electronics,1227,5,New
65,03/01/2023 16:00,East,Groceries,826,7,New
66,03/01/2023 17:00,South,Clothing,3304,4,Returning
67,03/01/2023 18:00,West,Groceries,3438,1,Returning
68,03/01/2023 19:00,North,Furniture,3786,4,Returning
69,03/01/2023 20:00,West,Electronics,2568,3,Returning
70,03/01/2023 21:00,South,Furniture,4481,9,New
71,03/01/2023 22:00,South,Furniture,4688,5,Returning
72,03/01/2023 23:00,South,Electronics,4056,4,Returning
73,04/01/2023 0:00,North,Furniture,3214,8,New
74,04/01/2023 1:00,South,Electronics,1588,5,New
75,04/01/2023 2:00,North,Groceries,4916,3,New
76,04/01/2023 3:00,South,Furniture,1443,2,New
77,04/01/2023 4:00,West,Electronics,1093,8,Returning
78,04/01/2023 5:00,West,Clothing,2267,2,Returning
79,04/01/2023 6:00,East,Furniture,379,8,New
80,04/01/2023 7:00,West,Groceries,4895,5,New
81,04/01/2023 8:00,East,Electronics,2983,8,Returning
82,04/01/2023 9:00,West,Furniture,2829,5,New
83,04/01/2023 10:00,North,Furniture,3313,1,New
84,04/01/2023 11:00,West,Furniture,2535,2,New
85,04/01/2023 12:00,East,Groceries,257,6,Returning
86,04/01/2023 13:00,East,Electronics,3100,3,Returning
87,04/01/2023 14:00,South,Clothing,3609,8,Returning
88,04/01/2023 15:00,North,Clothing,2142,5,New
89,04/01/2023 16:00,West,Clothing,3811,3,Returning
90,04/01/2023 17:00,South,Electronics,1212,7,New
91,04/01/2023 18:00,West,Clothing,1184,8,Returning
92,04/01/2023 19:00,West,Groceries,891,4,New
93,04/01/2023 20:00,South,Electronics,1923,9,New
94,04/01/2023 21:00,South,Furniture,4250,6,Returning
95,04/01/2023 22:00,South,Groceries,4157,1,Returning
96,04/01/2023 23:00,South,Furniture,1976,5,New
97,05/01/2023 0:00,South,Clothing,2987,5,New
98,05/01/2023 1:00,West,Groceries,3632,7,New
99,05/01/2023 2:00,South,Electronics,1282,7,New
100,05/01/2023 3:00,North,Groceries,924,6,New
101,05/01/2023 4:00,East,Furniture,4863,8,Returning
102,05/01/2023 5:00,South,Electronics,3126,2,New
103,05/01/2023 6:00,South,Groceries,4909,7,Returning
104,05/01/2023 7:00,West,Groceries,1755,7,Returning
105,05/01/2023 8:00,South,Groceries,3545,4,Returning
106,05/01/2023 9:00,South,Groceries,1191,2,Returning
107,05/01/2023 10:00,South,Electronics,1380,4,New
108,05/01/2023 11:00,West,Furniture,2608,4,Returning
109,05/01/2023 12:00,South,Groceries,1666,6,Returning
110,05/01/2023 13:00,East,Electronics,921,7,Returning
111,05/01/2023 14:00,West,Furniture,1388,3,New
112,05/01/2023 15:00,East,Groceries,275,1,Returning
113,05/01/2023 16:00,West,Furniture,3552,3,Returning
114,05/01/2023 17:00,South,Furniture,2511,9,Returning
115,05/01/2023 18:00,East,Electronics,562,1,New
116,05/01/2023 19:00,West,Furniture,941,8,New
117,05/01/2023 20:00,North,Electronics,602,2,New
118,05/01/2023 21:00,South,Groceries,3102,6,Returning
119,05/01/2023 22:00,West,Furniture,562,3,New
120,05/01/2023 23:00,North,Furniture,3796,7,New
121,06/01/2023 0:00,West,Clothing,201,2,New
122,06/01/2023 1:00,North,Groceries,1322,4,Returning
123,06/01/2023 2:00,South,Groceries,4464,9,New
124,06/01/2023 3:00,East,Clothing,3621,6,Returning
125,06/01/2023 4:00,North,Clothing,458,4,Returning
126,06/01/2023 5:00,West,Electronics,4124,2,Returning
127,06/01/2023 6:00,South,Electronics,2516,9,Returning
128,06/01/2023 7:00,North,Furniture,4249,4,New
129,06/01/2023 8:00,West,Furniture,3044,9,New
130,06/01/2023 9:00,West,Furniture,3441,2,Returning
131,06/01/2023 10:00,West,Furniture,4968,7,Returning
132,06/01/2023 11:00,North,Electronics,1238,5,Returning
133,06/01/2023 12:00,North,Groceries,3157,8,Returning
134,06/01/2023 13:00,North,Furniture,2356,8,New
135,06/01/2023 14:00,East,Groceries,293,4,New
136,06/01/2023 15:00,North,Furniture,171,4,Returning
137,06/01/2023 16:00,North,Clothing,684,8,New
138,06/01/2023 17:00,North,Furniture,3281,3,New
139,06/01/2023 18:00,East,Furniture,2879,7,New
140,06/01/2023 19:00,North,Furniture,2812,8,New
141,06/01/2023 20:00,West,Electronics,256,8,Returning
142,06/01/2023 21:00,North,Clothing,2400,4,New
143,06/01/2023 22:00,West,Furniture,4631,9,Returning
144,06/01/2023 23:00,West,Furniture,2048,4,New
145,07/01/2023 0:00,West,Groceries,3162,8,New
146,07/01/2023 1:00,East,Clothing,3921,6,Returning
147,07/01/2023 2:00,East,Furniture,3941,5,New
148,07/01/2023 3:00,East,Groceries,2644,4,Returning
149,07/01/2023 4:00,North,Groceries,4304,5,New
150,07/01/2023 5:00,West,Electronics,2018,1,Returning
151,07/01/2023 6:00,East,Groceries,4455,7,New
152,07/01/2023 7:00,East,Furniture,1277,8,Returning
153,07/01/2023 8:00,North,Electronics,1473,9,New
154,07/01/2023 9:00,East,Electronics,360,3,Returning
155,07/01/2023 10:00,North,Furniture,3998,9,New
156,07/01/2023 11:00,South,Clothing,2144,5,Returning
157,07/01/2023 12:00,East,Groceries,1223,6,Returning
158,07/01/2023 13:00,South,Electronics,1236,1,New
159,07/01/2023 14:00,North,Clothing,4517,9,Returning
160,07/01/2023 15:00,West,Furniture,4186,9,Returning
161,07/01/2023 16:00,East,Groceries,2812,6,New
162,07/01/2023 17:00,North,Groceries,3119,8,New
163,07/01/2023 18:00,West,Electronics,2424,4,New
164,07/01/2023 19:00,West,Groceries,2019,5,Returning
165,07/01/2023 20:00,South,Groceries,4586,5,Returning
166,07/01/2023 21:00,North,Groceries,716,7,New
167,07/01/2023 22:00,West,Groceries,2150,7,Returning
168,07/01/2023 23:00,East,Furniture,1788,7,New
169,08/01/2023 0:00,East,Clothing,2541,5,Returning
170,08/01/2023 1:00,South,Furniture,2342,4,New
171,08/01/2023 2:00,West,Furniture,2643,8,Returning
172,08/01/2023 3:00,North,Electronics,786,1,New
173,08/01/2023 4:00,East,Groceries,2614,1,New
174,08/01/2023 5:00,West,Furniture,1288,6,New
175,08/01/2023 6:00,West,Groceries,1003,2,Returning
176,08/01/2023 7:00,South,Furniture,418,3,Returning
177,08/01/2023 8:00,East,Furniture,3837,4,Returning
178,08/01/2023 9:00,East,Electronics,2194,2,New
179,08/01/2023 10:00,North,Clothing,3171,7,Returning
180,08/01/2023 11:00,East,Clothing,3665,1,Returning
181,08/01/2023 12:00,North,Furniture,3429,3,New
182,08/01/2023 13:00,East,Electronics,2405,2,New
183,08/01/2023 14:00,South,Groceries,2001,9,New
184,08/01/2023 15:00,East,Groceries,1942,8,New
185,08/01/2023 16:00,North,Furniture,3236,3,Returning
186,08/01/2023 17:00,North,Clothing,2524,5,New
187,08/01/2023 18:00,South,Electronics,4261,3,Returning
188,08/01/2023 19:00,East,Clothing,4386,6,New
189,08/01/2023 20:00,East,Groceries,936,5,Returning
190,08/01/2023 21:00,South,Clothing,768,2,New
191,08/01/2023 22:00,East,Groceries,3189,8,New
192,08/01/2023 23:00,East,Electronics,1576,6,New
193,09/01/2023 0:00,North,Electronics,191,3,New
194,09/01/2023 1:00,East,Furniture,4454,1,New
195,09/01/2023 2:00,East,Furniture,1212,5,Returning
196,09/01/2023 3:00,South,Clothing,4653,2,Returning
197,09/01/2023 4:00,South,Electronics,3615,2,Returning
198,09/01/2023 5:00,West,Electronics,3837,9,Returning
199,09/01/2023 6:00,North,Furniture,1087,7,Returning
200,09/01/2023 7:00,East,Groceries,1248,6,New
201,09/01/2023 8:00,East,Clothing,2654,1,New
202,09/01/2023 9:00,West,Clothing,943,2,Returning
203,09/01/2023 10:00,East,Furniture,1597,7,Returning
204,09/01/2023 11:00,North,Electronics,1675,3,Returning
205,09/01/2023 12:00,West,Furniture,882,2,Returning
206,09/01/2023 13:00,North,Furniture,1105,6,Returning
207,09/01/2023 14:00,West,Furniture,3964,8,New
208,09/01/2023 15:00,West,Furniture,919,8,Returning
209,09/01/2023 16:00,South,Groceries,239,2,New
210,09/01/2023 17:00,North,Groceries,3184,6,Returning
211,09/01/2023 18:00,East,Electronics,4882,5,New
212,09/01/2023 19:00,East,Furniture,1723,7,Returning
213,09/01/2023 20:00,North,Groceries,681,4,Returning
214,09/01/2023 21:00,East,Electronics,2895,2,New
215,09/01/2023 22:00,East,Furniture,4541,3,New
216,09/01/2023 23:00,North,Clothing,3942,9,New
217,10/01/2023 0:00,West,Groceries,3150,8,Returning
218,10/01/2023 1:00,North,Electronics,1644,9,Returning
219,10/01/2023 2:00,West,Clothing,2755,5,Returning
220,10/01/2023 3:00,East,Furniture,547,5,Returning
221,10/01/2023 4:00,East,Furniture,3427,7,New
222,10/01/2023 5:00,East,Furniture,3653,7,New
223,10/01/2023 6:00,South,Groceries,4829,1,New
224,10/01/2023 7:00,West,Electronics,1376,5,New
225,10/01/2023 8:00,South,Clothing,190,8,New
226,10/01/2023 9:00,South,Electronics,2773,7,New
227,10/01/2023 10:00,North,Groceries,3563,2,New
228,10/01/2023 11:00,South,Electronics,3973,8,Returning
229,10/01/2023 12:00,North,Groceries,1049,2,Returning
230,10/01/2023 13:00,North,Furniture,1383,1,New
231,10/01/2023 14:00,South,Clothing,2612,3,New
232,10/01/2023 15:00,West,Furniture,1720,3,Returning
233,10/01/2023 16:00,West,Electronics,4317,6,New
234,10/01/2023 17:00,West,Furniture,2421,3,Returning
235,10/01/2023 18:00,West,Clothing,4018,7,Returning
236,10/01/2023 19:00,West,Furniture,2945,8,New
237,10/01/2023 20:00,South,Clothing,3888,3,Returning
238,10/01/2023 21:00,South,Clothing,1730,9,Returning
239,10/01/2023 22:00,East,Furniture,4174,1,Returning
240,10/01/2023 23:00,West,Groceries,1445,3,New
241,11/01/2023 0:00,South,Electronics,2776,3,New
242,11/01/2023 1:00,East,Groceries,1149,7,Returning
243,11/01/2023 2:00,West,Groceries,2430,5,New
244,11/01/2023 3:00,North,Furniture,1659,4,Returning
245,11/01/2023 4:00,East,Electronics,1407,2,Returning
246,11/01/2023 5:00,South,Electronics,4838,7,New
247,11/01/2023 6:00,North,Groceries,884,3,Returning
248,11/01/2023 7:00,North,Furniture,3958,7,Returning
249,11/01/2023 8:00,North,Electronics,4922,7,Returning
250,11/01/2023 9:00,East,Groceries,198,2,Returning
251,11/01/2023 10:00,South,Electronics,3525,7,Returning
252,11/01/2023 11:00,North,Furniture,1339,6,Returning
253,11/01/2023 12:00,West,Furniture,298,4,Returning
254,11/01/2023 13:00,North,Furniture,2074,5,New
255,11/01/2023 14:00,North,Electronics,4683,8,New
256,11/01/2023 15:00,East,Clothing,158,5,Returning
257,11/01/2023 16:00,East,Electronics,2981,3,New
258,11/01/2023 17:00,South,Clothing,2557,2,Returning
259,11/01/2023 18:00,West,Furniture,4380,6,Returning
260,11/01/2023 19:00,East,Groceries,512,6,Returning
261,11/01/2023 20:00,North,Clothing,3439,7,Returning
262,11/01/2023 21:00,South,Furniture,3433,8,New
263,11/01/2023 22:00,North,Furniture,3378,4,Returning
264,11/01/2023 23:00,North,Clothing,4717,8,Returning
265,12/01/2023 0:00,East,Groceries,4133,1,New
266,12/01/2023 1:00,South,Furniture,306,6,New
267,12/01/2023 2:00,West,Clothing,2408,6,New
268,12/01/2023 3:00,West,Groceries,2050,3,New
269,12/01/2023 4:00,East,Groceries,1620,9,New
270,12/01/2023 5:00,East,Furniture,2312,5,New
271,12/01/2023 6:00,South,Electronics,1983,1,Returning
272,12/01/2023 7:00,West,Electronics,2218,7,Returning
273,12/01/2023 8:00,West,Furniture,4898,3,New
274,12/01/2023 9:00,West,Groceries,534,4,New
275,12/01/2023 10:00,North,Furniture,4619,6,Returning
276,12/01/2023 11:00,West,Clothing,2453,8,New
277,12/01/2023 12:00,North,Electronics,3156,4,New
278,12/01/2023 13:00,South,Clothing,4168,9,New
279,12/01/2023 14:00,North,Furniture,1866,8,Returning
280,12/01/2023 15:00,South,Furniture,2209,6,New
281,12/01/2023 16:00,West,Groceries,2107,7,Returning
282,12/01/2023 17:00,West,Groceries,1936,8,Returning
283,12/01/2023 18:00,South,Groceries,4635,2,Returning
284,12/01/2023 19:00,East,Clothing,4162,5,New
285,12/01/2023 20:00,South,Groceries,634,7,New
286,12/01/2023 21:00,East,Furniture,630,8,Returning
287,12/01/2023 22:00,North,Groceries,2197,5,Returning
288,12/01/2023 23:00,North,Electronics,583,3,New
289,13/01/2023 0:00,North,Groceries,3134,6,Returning
290,13/01/2023 1:00,West,Clothing,804,5,New
291,13/01/2023 2:00,North,Electronics,2660,8,Returning
292,13/01/2023 3:00,East,Electronics,135,9,New
293,13/01/2023 4:00,North,Electronics,1651,9,New
294,13/01/2023 5:00,South,Clothing,3418,6,Returning
295,13/01/2023 6:00,South,Furniture,2472,4,Returning
296,13/01/2023 7:00,West,Groceries,4894,4,New
297,13/01/2023 8:00,South,Electronics,4383,9,Returning
298,13/01/2023 9:00,East,Electronics,1859,4,Returning
299,13/01/2023 10:00,North,Electronics,323,8,Returning
300,13/01/2023 11:00,West,Furniture,4244,9,New
301,13/01/2023 12:00,North,Furniture,4565,5,Returning
302,13/01/2023 13:00,North,Clothing,4121,6,Returning
303,13/01/2023 14:00,East,Furniture,727,3,Returning
304,13/01/2023 15:00,South,Groceries,4990,5,Returning
305,13/01/2023 16:00,South,Clothing,1367,5,New
306,13/01/2023 17:00,North,Clothing,3649,2,Returning
307,13/01/2023 18:00,West,Groceries,4549,6,New
308,13/01/2023 19:00,South,Groceries,1255,9,New
309,13/01/2023 20:00,West,Groceries,4550,7,Returning
310,13/01/2023 21:00,South,Clothing,1616,8,Returning
311,13/01/2023 22:00,West,Clothing,4884,2,New
312,13/01/2023 23:00,East,Clothing,1478,9,Returning
313,14/01/2023 0:00,West,Groceries,4772,3,Returning
314,14/01/2023 1:00,East,Groceries,362,5,New
315,14/01/2023 2:00,East,Electronics,3575,7,Returning
316,14/01/2023 3:00,West,Furniture,2707,4,Returning
317,14/01/2023 4:00,East,Electronics,2442,7,Returning
318,14/01/2023 5:00,North,Groceries,1195,8,New
319,14/01/2023 6:00,East,Clothing,3557,4,Returning
320,14/01/2023 7:00,South,Groceries,1035,5,New
321,14/01/2023 8:00,West,Furniture,2809,3,New
322,14/01/2023 9:00,North,Electronics,1341,5,New
323,14/01/2023 10:00,West,Electronics,4783,8,Returning
324,14/01/2023 11:00,South,Clothing,240,3,Returning
325,14/01/2023 12:00,South,Electronics,1079,5,New
326,14/01/2023 13:00,South,Electronics,1287,1,New
327,14/01/2023 14:00,East,Groceries,2129,2,Returning
328,14/01/2023 15:00,East,Electronics,1240,3,Returning
329,14/01/2023 16:00,West,Electronics,2508,1,New
330,14/01/2023 17:00,West,Electronics,4375,9,Returning
331,14/01/2023 18:00,North,Clothing,3589,9,New
332,14/01/2023 19:00,North,Clothing,2942,5,New
333,14/01/2023 20:00,West,Groceries,536,4,Returning
334,14/01/2023 21:00,East,Electronics,3501,5,Returning
335,14/01/2023 22:00,South,Clothing,915,4,Returning
336,14/01/2023 23:00,West,Clothing,3953,5,New
337,15/01/2023 0:00,North,Groceries,1325,7,Returning
338,15/01/2023 1:00,East,Furniture,2144,8,Returning
339,15/01/2023 2:00,West,Electronics,1817,2,New
340,15/01/2023 3:00,West,Clothing,4308,4,New
341,15/01/2023 4:00,East,Groceries,720,8,Returning
342,15/01/2023 5:00,West,Groceries,2872,7,Returning
343,15/01/2023 6:00,East,Groceries,796,9,New
344,15/01/2023 7:00,South,Clothing,3554,5,New
345,15/01/2023 8:00,East,Electronics,4535,6,Returning
346,15/01/2023 9:00,East,Furniture,2230,8,Returning
347,15/01/2023 10:00,East,Electronics,2492,5,New
348,15/01/2023 11:00,West,Groceries,4644,9,Returning
349,15/01/2023 12:00,West,Groceries,2653,4,New
350,15/01/2023 13:00,East,Furniture,2489,8,New
351,15/01/2023 14:00,West,Electronics,2934,3,Returning
352,15/01/2023 15:00,North,Groceries,3477,5,Returning
353,15/01/2023 16:00,North,Groceries,624,8,New
354,15/01/2023 17:00,West,Electronics,4123,7,New
355,15/01/2023 18:00,West,Groceries,2234,1,New
356,15/01/2023 19:00,East,Electronics,455,4,Returning
357,15/01/2023 20:00,South,Groceries,3952,2,New
358,15/01/2023 21:00,West,Electronics,1947,2,New
359,15/01/2023 22:00,North,Furniture,592,7,New
360,15/01/2023 23:00,East,Groceries,3206,3,Returning
361,16/01/2023 0:00,West,Furniture,4413,3,New
362,16/01/2023 1:00,North,Groceries,4450,6,Returning
363,16/01/2023 2:00,North,Groceries,4793,6,Returning
364,16/01/2023 3:00,South,Clothing,4352,1,New
365,16/01/2023 4:00,East,Electronics,110,1,New
366,16/01/2023 5:00,East,Furniture,1963,6,New
367,16/01/2023 6:00,South,Furniture,4111,7,Returning
368,16/01/2023 7:00,South,Furniture,1895,9,New
369,16/01/2023 8:00,East,Electronics,3048,4,Returning
370,16/01/2023 9:00,East,Clothing,3071,6,Returning
371,16/01/2023 10:00,West,Furniture,1889,3,Returning
372,16/01/2023 11:00,West,Electronics,4532,4,Returning
373,16/01/2023 12:00,South,Groceries,2566,9,Returning
374,16/01/2023 13:00,West,Furniture,2377,1,Returning
375,16/01/2023 14:00,North,Furniture,4988,5,New
376,16/01/2023 15:00,West,Clothing,2518,7,New
377,16/01/2023 16:00,West,Furniture,974,3,Returning
378,16/01/2023 17:00,North,Furniture,2614,2,Returning
379,16/01/2023 18:00,South,Groceries,4089,2,New
380,16/01/2023 19:00,North,Electronics,3907,1,New
381,16/01/2023 20:00,West,Electronics,3964,5,New
382,16/01/2023 21:00,South,Clothing,3569,3,New
383,16/01/2023 22:00,West,Groceries,1346,7,Returning
384,16/01/2023 23:00,North,Electronics,4324,1,New
385,17/01/2023 0:00,North,Groceries,4478,9,Returning
386,17/01/2023 1:00,West,Electronics,1051,2,Returning
387,17/01/2023 2:00,East,Groceries,739,8,New
388,17/01/2023 3:00,East,Clothing,4880,4,New
389,17/01/2023 4:00,North,Furniture,4355,6,Returning
390,17/01/2023 5:00,North,Clothing,4477,9,Returning
391,17/01/2023 6:00,East,Electronics,4443,7,Returning
392,17/01/2023 7:00,East,Clothing,2754,8,Returning
393,17/01/2023 8:00,West,Furniture,3267,7,New
394,17/01/2023 9:00,West,Clothing,2772,2,New
395,17/01/2023 10:00,East,Electronics,351,9,New
396,17/01/2023 11:00,West,Electronics,3753,1,New
397,17/01/2023 12:00,West,Clothing,2576,2,New
398,17/01/2023 13:00,South,Furniture,3274,3,Returning
399,17/01/2023 14:00,West,Clothing,2563,3,Returning
400,17/01/2023 15:00,North,Furniture,2510,4,New
401,17/01/2023 16:00,West,Groceries,942,5,New
402,17/01/2023 17:00,West,Furniture,1466,6,Returning
403,17/01/2023 18:00,East,Groceries,878,1,Returning
404,17/01/2023 19:00,North,Clothing,1059,8,New
405,17/01/2023 20:00,West,Furniture,4868,6,New
406,17/01/2023 21:00,West,Groceries,850,9,Returning
407,17/01/2023 22:00,South,Groceries,1419,5,New
408,17/01/2023 23:00,West,Groceries,2994,7,New
409,18/01/2023 0:00,West,Electronics,3090,4,Returning
410,18/01/2023 1:00,South,Clothing,854,6,Returning
411,18/01/2023 2:00,East,Groceries,3989,6,Returning
412,18/01/2023 3:00,West,Furniture,3947,4,New
413,18/01/2023 4:00,South,Groceries,1263,6,Returning
414,18/01/2023 5:00,North,Electronics,1514,8,New
415,18/01/2023 6:00,East,Clothing,4696,5,Returning
416,18/01/2023 7:00,North,Electronics,4146,2,New
417,18/01/2023 8:00,North,Electronics,3519,9,New
418,18/01/2023 9:00,South,Electronics,503,4,Returning
419,18/01/2023 10:00,West,Furniture,2149,4,New
420,18/01/2023 11:00,South,Clothing,2841,7,New
421,18/01/2023 12:00,South,Clothing,1018,6,Returning
422,18/01/2023 13:00,South,Furniture,2296,4,New
423,18/01/2023 14:00,South,Clothing,3045,6,Returning
424,18/01/2023 15:00,East,Electronics,1704,3,New
425,18/01/2023 16:00,West,Clothing,3927,7,Returning
426,18/01/2023 17:00,North,Furniture,4218,6,Returning
427,18/01/2023 18:00,North,Electronics,1686,3,New
428,18/01/2023 19:00,West,Furniture,4209,1,Returning
429,18/01/2023 20:00,North,Groceries,608,5,Returning
430,18/01/2023 21:00,West,Electronics,4205,2,New
431,18/01/2023 22:00,North,Electronics,848,7,Returning
432,18/01/2023 23:00,South,Clothing,506,7,Returning
433,19/01/2023 0:00,North,Electronics,3245,4,Returning
434,19/01/2023 1:00,West,Furniture,2412,6,Returning
435,19/01/2023 2:00,West,Clothing,4549,1,New
436,19/01/2023 3:00,West,Groceries,1880,2,Returning
437,19/01/2023 4:00,West,Furniture,1507,6,Returning
438,19/01/2023 5:00,West,Groceries,2554,2,Returning
439,19/01/2023 6:00,East,Groceries,2334,4,New
440,19/01/2023 7:00,East,Groceries,1788,4,New
441,19/01/2023 8:00,North,Electronics,3499,9,Returning
442,19/01/2023 9:00,West,Furniture,3822,7,Returning
443,19/01/2023 10:00,North,Furniture,4280,7,New
444,19/01/2023 11:00,West,Electronics,4867,1,Returning
445,19/01/2023 12:00,West,Clothing,1407,5,Returning
446,19/01/2023 13:00,East,Groceries,3609,3,Returning
447,19/01/2023 14:00,East,Furniture,2032,3,Returning
448,19/01/2023 15:00,South,Electronics,3418,6,New
449,19/01/2023 16:00,East,Groceries,2432,4,New
450,19/01/2023 17:00,South,Clothing,4969,8,New
451,19/01/2023 18:00,South,Clothing,3672,4,New
452,19/01/2023 19:00,South,Groceries,4767,8,New
453,19/01/2023 20:00,South,Clothing,4191,4,Returning
454,19/01/2023 21:00,South,Furniture,4524,3,New
455,19/01/2023 22:00,North,Furniture,4091,5,Returning
456,19/01/2023 23:00,East,Furniture,2350,5,New
457,20/01/2023 0:00,South,Clothing,1334,1,Returning
458,20/01/2023 1:00,West,Furniture,1915,8,New
459,20/01/2023 2:00,East,Electronics,199,8,New
460,20/01/2023 3:00,East,Furniture,2668,8,Returning
461,20/01/2023 4:00,South,Furniture,2575,4,Returning
462,20/01/2023 5:00,North,Clothing,2674,9,Returning
463,20/01/2023 6:00,South,Furniture,4873,3,New
464,20/01/2023 7:00,North,Groceries,4566,7,New
465,20/01/2023 8:00,West,Electronics,892,6,Returning
466,20/01/2023 9:00,East,Clothing,1908,9,New
467,20/01/2023 10:00,West,Electronics,2177,4,Returning
468,20/01/2023 11:00,North,Groceries,1867,4,New
469,20/01/2023 12:00,North,Clothing,4013,6,Returning
470,20/01/2023 13:00,West,Clothing,2668,8,Returning
471,20/01/2023 14:00,North,Furniture,2903,3,New
472,20/01/2023 15:00,West,Electronics,4280,8,Returning
473,20/01/2023 16:00,East,Groceries,4049,8,New
474,20/01/2023 17:00,West,Groceries,748,7,New
475,20/01/2023 18:00,East,Clothing,3598,7,New
476,20/01/2023 19:00,West,Furniture,2234,5,Returning
477,20/01/2023 20:00,North,Clothing,1544,2,Returning
478,20/01/2023 21:00,West,Clothing,345,2,Returning
479,20/01/2023 22:00,North,Clothing,2488,8,New
480,20/01/2023 23:00,West,Clothing,1842,6,New
481,21/01/2023 0:00,West,Groceries,1332,8,Returning
482,21/01/2023 1:00,South,Groceries,3504,3,New
483,21/01/2023 2:00,North,Clothing,3870,1,New
484,21/01/2023 3:00,South,Clothing,1299,6,New
485,21/01/2023 4:00,North,Furniture,342,2,Returning
486,21/01/2023 5:00,South,Clothing,4259,9,Returning
487,21/01/2023 6:00,East,Groceries,149,5,Returning
488,21/01/2023 7:00,West,Electronics,4692,5,New
489,21/01/2023 8:00,North,Groceries,3175,8,New
490,21/01/2023 9:00,North,Furniture,1677,6,Returning
491,21/01/2023 10:00,West,Groceries,1308,3,Returning
492,21/01/2023 11:00,North,Electronics,144,9,Returning
493,21/01/2023 12:00,North,Clothing,1254,4,New
494,21/01/2023 13:00,South,Electronics,775,4,Returning
495,21/01/2023 14:00,North,Clothing,3100,2,Returning
496,21/01/2023 15:00,East,Clothing,916,3,Returning
497,21/01/2023 16:00,East,Groceries,2690,4,New
498,21/01/2023 17:00,West,Groceries,2992,7,Returning
499,21/01/2023 18:00,North,Groceries,1560,3,New
500,21/01/2023 19:00,West,Furniture,272,8,Returning
